tier,dataset,layer,ancestry,build,unit,N,key_detail,canonical_file,role
Credible sets (V2G2T substrate),AoU MultiSuSiE,GWAS,AFR+LAT+EUR,hg38,credible-set rows,"276,767","14 quant traits; WGS; multi-ancestry; 1,158 PIP>0.9",multibiobank_credible_sets_combined.parquet,substrate
Credible sets (V2G2T substrate),UKB-WGS,GWAS,EUR,hg38,credible-set rows,"471,513","34 traits; genuine WGS panel; 10,993 PIP>0.9",multibiobank_credible_sets_combined.parquet,substrate
Credible sets (V2G2T substrate),UKB (TOPMed+UK10K imputation),GWAS,EUR,hg38,credible-set rows,"900,674","same 34 traits, imputation panels; provenance-tagged",multibiobank_credible_sets_combined.parquet,substrate (imputation)
Credible sets (V2G2T substrate),FinnGen R13,GWAS,FIN,hg38,credible-set rows,"542,605","1,424 endpoints; carries r2-to-lead + gene; 3,257 PIP>0.9",multibiobank_credible_sets_combined.parquet,substrate
Credible sets (V2G2T substrate),BBJ / JCTF molQTL,molQTL,EAS,hg38,credible-set rows,"7,837,680","cis-eQTL 19,026 genes + cis-pQTL 2,522 prot; in-sample; 5,725 PIP>0.9",multibiobank_credible_sets_combined.parquet,substrate
Credible sets (V2G2T substrate),UKB metabolomics,metaboliteQTL,multi-UKB,hg38,credible-set rows,"43,322","249 NMR traits; SuSiE; carries r2; 8,694 PIP>0.9",multibiobank_credible_sets_combined.parquet,substrate
Molecular QTL (colocalization),OT molecular QTL (in-sample SuSiE),V2G/QTL,mostly EUR,hg38,credible sets,"2,012,086",eqtl 1.35M / tuqtl 385k / sqtl 224k / sceqtl 53k / pqtl 1.6k,ot_molecular_qtl_highconf.parquet (bucket),QTL layer
Molecular QTL (colocalization),"UKB-PPP pQTL (ST16, lifted)",V2G/QTL,EUR,hg38,in-sample SuSiE pQTL signals,"29,420","2,414 proteins; 10,750 cis / 18,670 trans; supersedes OT's 1,581",ukbppp_st16_insample_pqtl_hg38.parquet (bucket),pQTL rescue
Molecular QTL (colocalization),Non-European QTL (7 OT projects),V2G/QTL,African/EAS/Admixed,hg38,credible sets,"158,208",GEUVADIS/Quach/Nedelec/Nathan/Perez/Randolph/iPSCORE,ot_noneur_qtl_highconf.parquet (bucket),ancestry generalization
E2G training / comparator,DBNascent signed pairs,E2G training,multi-tissue,hg38,"unique (gene,enhancer) pairs","6,700,460",82.3% activating; 11 tissues; +per-tissue/negatives/3D views,dbnascent_pairs (bucket),signed E2G label
E2G training / comparator,OT ENCODE-rE2G (distal),E2G comparator,—,hg38,distal enhancer→gene links,"10,370,321","18,575 genes / 322 biosamples; CRISPRi-trained; score non-selective",ot_encode_re2g_distal.parquet (bucket),comparator / feature
Validation truth,V2G benchmark v1.0 (8 sources),validation,multi,hg38,positives / negatives,"2,164 / 13,613",kanai/cortex-MPRA/schnitzler/tardaguila/ghatan/FAIR/STING/autoimmune; 4 assay classes,"v2g_benchmark_{positives,negatives}.parquet",held-out truth
Validation truth,ENCODE-rE2G CRISPRi (Gschwind 2023),E2G truth,K562+,hg38,tested / positive element-gene,"10,411 / 1,075",concordance-test truth (666 matched) AND comparator source — ONE dataset,EPCrisprBenchmark_*.tsv.gz (bucket),label-validity gate
Gold V2G2T loci,V2G2T Filter 1 (LD non-coding + pLoF),gold V2G2T,FIN (in-sample),hg38,variant→gene pairs,86 (≤250kb),53 distinct v→g; ABO/CHEK2/LZTR1/RAD52/ICAM1,v2g2t_filter1_ld_noncoding_plof.parquet,assay-independent validation
Gold V2G2T loci,V2G2T Filter 2 (burden+GWAS+coloc),gold V2G2T,multi,hg38,triplets,166,133 distinct v→g / 84 genes; GRN/APOB/LDLR/TP53/CFH,v2g2t_filter2_burden_gwas_coloc.parquet,assay-independent validation
G2T burden (companion),AoU 392k All-by-All burden,G2T,multi (AoU),hg38,gene-phenotype pLoF hits,"1,580",235 genes / 327 phenotypes; SD3+SD5+SD7,aou_burden_g2t_sig.parquet,G2T validation
G2T burden (companion),FinnGen R13 LoF burden,G2T,FIN,hg38,gene-trait burden hits,"13,968","3,984 genes; 304 genome-wide significant",finngen_lof_burden_sig.parquet,G2T validation
